cid,submittedVideoUrl,text,label,translated_text,translated_text_formal
7.425137520286402e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,lalu bagaimana kalok kita tdk punya orang terdekat?,1.0,lalu bagaimana kalok kita tdk punya orang terdekat?,Lalu bagaimana Kaklok kita tidak punya orang terdeKakt?
7.460145591952999e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"aku akhir2 ini lgi ngerasa aneh sma diri sendiri ,aku ngelakuin hal yang gabaik yg ga biasanya aku lakuin knp ya",0.0,"aku akhir2 ini lgi ngerasa aneh sma diri sendiri ,aku ngelakuin hal yang gabaik yg ga biasanya aku lakuin knp ya","Asaya akhir2 ini lgi ngerasa aneh sma diri sendiri ,asaya ngelasayain hal yang gabaik yang ga biasanya asaya lasayain knp ya"
7.424192595117753e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalau misalkan seorang sikolog mengalami gangguan mental apakah dia juga datang ke sikolog lain juga,1.0,kalau misalkan seorang sikolog mengalami gangguan mental apakah dia juga datang ke sikolog lain juga,Kaklau misalKakn seorang sikolog mengalami gangguan mental apaKakh dia juga datang ke sikolog lain juga
7.42418965786226e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"mungkin kak, karna dia juga manusia biasa butuh orang lain",1.0,"mungkin kak, karna dia juga manusia biasa butuh orang lain","Mungkin Kakk, Kakrna dia juga manusia biasa butuh orang lain"
7.46105189276097e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,gimana kalau orang terdekatpun gak ada yg peduli?,0.0,gimana kalau orang terdekatpun gak ada yg peduli?,Gimana Kaklau orang terdeKaktpun gak ada yang peduli?
7.457158999000974e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"kak disekitarku banyak orang tapi aku selalu ngerasa sendiri, orang lain bahkan kluarga mereka gak peduli",1.0,"kak disekitarku banyak orang tapi aku selalu ngerasa sendiri, orang lain bahkan kluarga mereka gak peduli","Kakk disekitarsaya banyak orang tapi asaya selalu ngerasa sendiri, orang lain bahKakn kluarga mereKak gak peduli"
7.439123401916466e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,gimana kalau org2 disekitar kita ld toxic semuanya..semakin merasa tertekan..,1.0,gimana kalau org2 disekitar kita ld toxic semuanya..semakin merasa tertekan..,Gimana Kaklau orang2 disekitar kita ld toxic semuanya..semakin merasa terteKakn..
7.426346818269906e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,orng yg punya anxiety tu serba salah,1.0,Orng yang memiliki kecemasan itu salah,Orng yang memiliki kecemasan itu salah
7.457872518734038e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sygnya gk punya org trdekat yg bisa di minta tolongin,1.0,sygnya gk punya org trdekat yg bisa di minta tolongin,Syangnya gk punya orang terdeKakt yang bisa di minta tolongin
7.424333186241381e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayang nya orang terdekat kita lah yang bikin kita setresss,0.0,sayang nya orang terdekat kita lah yang bikin kita setresss,Sayang nya orang terdeKakt kita lah yang bikin kita setresss
7.424734290041308e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,untuk konsultasi brapa ya...?,1.0,untuk konsultasi brapa ya...?,Untuk konsultasi brapa ya...?
7.424135906737587e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"kakk...pengen cerita tapi tidak tahu mau cerita sama siapa,, karna rasanya tidak ada tempat untuk berceritaa",1.0,"kakk...pengen cerita tapi tidak tahu mau cerita sama siapa,, karna rasanya tidak ada tempat untuk berceritaa","Kakkk...pengen cerita tapi tidak tahu mau cerita sama siapa,, Kakrna rasanya tidak ada tempat untuk berceritaa"
7.460821372853667e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,:sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah,0.0,:sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah,:sayangnya orang-orang terdeKakt yang justru membuat mental kita sakit dan lelah
7.440690955429643e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sudah tidak punya org2 trdekat kak gmn,1.0,sudah tidak punya org2 trdekat kak gmn,Sudah tidak punya orang2 terdeKakt Kakk gmn
7.436723416102028e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru suamiku yg membuat aku gila kak,0.0,justru suamiku yg membuat aku gila kak,Justru suamisaya yang membuat asaya gila Kakk
7.424763732884342e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,ke psikolog mahal gak sii,1.0,ke psikolog mahal gak sii,Ke psikolog mahal gak sii
7.430069663675303e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"kak,anxiety disorder bisa sembuh gk? capek banget",1.0,"kak,anxiety disorder bisa sembuh gk? capek banget","Kakk,anxiety disorder bisa sembuh gk? capek banget"
7.457329089923728e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayang nya ga ada orang yg bisa di ajak bantuin kita,1.0,sayang nya ga ada orang yg bisa di ajak bantuin kita,Sayang nya ga ada orang yang bisa di ajak bantuin kita
7.467208689914529e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,betul 100%,1.0,Tepat 100%,Tepat 100%
7.42436027509208e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,aku anxiety disoder tp sama tetangga ku distigma gila krn berobat kpsikiater,0.0,aku anxiety disoder tp sama tetangga ku distigma gila krn berobat kpsikiater,Asaya anxiety disoder tp sama tetangga saya distigma gila krn berobat kpsikiater
7.424853396148143e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sebenarnya apapun masalahnya hanya diri sendiri yg bisa menyembuhkan bukan orang lain dan bersyukur itu yg terpenting cobaan akan selalu datang mau kaya mau miskin sampai ajal,1.0,sebenarnya apapun masalahnya hanya diri sendiri yg bisa menyembuhkan bukan orang lain dan bersyukur itu yg terpenting cobaan akan selalu datang mau kaya mau miskin sampai ajal,Sebenarnya apapun masalahnya hanya diri sendiri yang bisa menyembuhKakn buKakn orang lain dan bersyusayar itu yang terpenting cobaan aKakn selalu datang mau Kakya mau miskin sampai ajal
7.424358090252682e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,mental dan iman that is defferent,1.0,mental dan iman that is defferent,Mental dan iman that is defferent
7.424480020074415e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,trueee,1.0,Trueee,Trueee
7.442871253864941e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,bener kk..and i need that,1.0,Bener KK..dan saya membutuhkannya,Bener KK..dan saya membutuhKaknnya
7.439940634435864e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,even my close one i cant trust to who i must reaching this,1.0,"Bahkan yang dekat saya, saya tidak bisa percaya dengan siapa saya harus mencapai ini","BahKakn yang deKakt saya, saya tidak bisa percaya dengan siapa saya harus mencapai ini"
7.452943687908394e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,help me please .,1.0,Tolong bantu saya.,Tolong bantu saya.
7.436397190924813e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,thanks for knowledge pshycologic,1.0,Terima kasih atas pengetahuan pshikologis,Terima Kaksih atas pengetahuan pshikologis
7.433099778895382e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,we are just a humans !,1.0,Kami hanyalah seorang manusia!,Kami hanyalah seorang manusia!
7.424493329746707e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,penyebab masalah mental justru orang terdekat kita,1.0,penyebab masalah mental justru orang terdekat kita,Penyebab masalah mental justru orang terdeKakt kita
7.427063315643237e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,aku kena luka batin .,1.0,aku kena luka batin .,Asaya kena luKak batin .
7.424168443295335e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"ayo bersama ciptakan lingkungan yang aman, berempati, dan tidak judgemental. karena stigma ini masih banyak dari kalangan muda yang saat ini pdhl udah mulai aware sama mental health.",1.0,"ayo bersama ciptakan lingkungan yang aman, berempati, dan tidak judgemental. karena stigma ini masih banyak dari kalangan muda yang saat ini pdhl udah mulai aware sama mental health.","Ayo bersama ciptaKakn lingsayangan yang aman, berempati, dan tidak judgemental. Kakrena stigma ini masih banyak dari Kaklangan muda yang saat ini pdhl udah mulai aware sama mental health."
7.424835494787548e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,mslh anxiety hnya orang tertentu yg paham,0.0,Kecemasan MSLH adalah orang tertentu yang mengerti,Kecemasan MSLH adalah orang tertentu yang mengerti
7.424680544316687e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,iy tth cantik kita kudu byk berdoa dengan bismillahirrahmanirrahim minta kuat kepada allah swt tth sehat selalu bahagia selalu sukses selalu,0.0,iy tth cantik kita kudu byk berdoa dengan bismillahirrahmanirrahim minta kuat kepada allah swt tth sehat selalu bahagia selalu sukses selalu,Iy tth cantik kita sayadu byk berdoa dengan bismillahirrahmanirrahim minta sayaat kepada allah swt tth sehat selalu bahagia selalu sukses selalu
7.424330522623673e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru orang terdekatlah yang membuat mental kita sakit?merasa tidak baik saja dg mentalku tapi bingung kemana harus kemana kita berobat’,1.0,justru orang terdekatlah yang membuat mental kita sakit?merasa tidak baik saja dg mentalku tapi bingung kemana harus kemana kita berobat’,Justru orang terdeKaktlah yang membuat mental kita sakit?merasa tidak baik saja dg mentalsaya tapi bingung kemana harus kemana kita berobat’
7.424418000574432e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,jangan berharap kepada manusia berharap lah sama tuhan titik,1.0,Jangan berharap orang berharap Tuhan penting,Jangan berharap orang berharap Tuhan penting
7.424731777233896e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sosial anxity,1.0,Nyag Sosial,Nyag Sosial
7.424337853298427e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sy beberapa kmrn mengalami.. sampe skrng msih ga enak body trauma sskit hati... tiap prg ke mall takut keluar keringet gede2 tp kedinginan seolah sendirian dlm gua pdhl itu di mall.. kdang nangis ..,0.0,sy beberapa kmrn mengalami.. sampe skrng msih ga enak body trauma sskit hati... tiap prg ke mall takut keluar keringet gede2 tp kedinginan seolah sendirian dlm gua pdhl itu di mall.. kdang nangis ..,Sy beberapa kmrn mengalami.. sampe skrng msih ga enak body trauma sskit hati... tiap prg ke mall tasayat keluar keringet gede2 tp kedinginan seolah sendirian dlm gua pdhl itu di mall.. kdang nangis ..
7.440526886763578e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalo mau ke psikolog tanpa pake bpjs itu harus minta surat rujukan dulu apa bisa langsung ke rumah sakit ya? kisaran biayanya brp ya kalo mandiri?,1.0,kalo mau ke psikolog tanpa pake bpjs itu harus minta surat rujukan dulu apa bisa langsung ke rumah sakit ya? kisaran biayanya brp ya kalo mandiri?,Kaklo mau ke psikolog tanpa pake bpjs itu harus minta surat rujuKakn dulu apa bisa langsung ke rumah sakit ya? kisaran biayanya brp ya Kaklo mandiri?
7.442562282636772e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,aku sampe ke hypnotherapy gara* ada hal yang buat aku selalu pengen nangis kalu inget,1.0,aku sampe ke hypnotherapy gara* ada hal yang buat aku selalu pengen nangis kalu inget,Asaya sampe ke hypnotherapy gara* ada hal yang buat asaya selalu pengen nangis Kaklu inget
7.43829092424804e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"bulan depan mau ke psikolog ,aku butuh dokter",1.0,"bulan depan mau ke psikolog ,aku butuh dokter","Bulan depan mau ke psikolog ,asaya butuh dokter"
7.42427732686273e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalau krumh skit misal mau kepsikiater itu gmn sih prosesnya,1.0,kalau krumh skit misal mau kepsikiater itu gmn sih prosesnya,Kaklau krumh skit misal mau kepsikiater itu gmn sih prosesnya
7.470057547204101e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,setuju mbak,1.0,setuju mbak,Setuju mbak
7.429712248941905e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"gue capek dikasih masalah di segala arah, orangtua, rumah tangga sendiri, keluarga suami, ekonomi, pekerjaan. sedihh bgt tapi gue gabisa nangis kenapa ya",0.0,"Gue Capek dicintai ke segala arah, orang tua, rumah tangga mereka sendiri, suami, ekonomi, pekerjaan. Bgt sedih tapi gue gabris menangis mengapa ya","Gue Capek dicintai ke segala arah, orang tua, rumah tangga mereKak sendiri, suami, ekonomi, pekerjaan. Bgt sedih tapi gue gabris menangis mengapa ya"
7.448043282867373e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"wajar gk sih dok,,,dari kecil ortu aq dh cerai aq dn kedua adik lki2 ku tinggal ikut nenek,,stlh nenek mninggal kmi ikut bpak,,dn sekolah aku gk prnh didukung dn bpak kawin cerai,,,",1.0,"wajar gk sih dok,,,dari kecil ortu aq dh cerai aq dn kedua adik lki2 ku tinggal ikut nenek,,stlh nenek mninggal kmi ikut bpak,,dn sekolah aku gk prnh didukung dn bpak kawin cerai,,,","Wajar gk sih dok,,,dari kecil ortu aq dh cerai aq dn kedua adik lki2 saya tinggal isayat nenek,,stlh nenek mninggal kmi isayat bpak,,dn sekolah asaya gk prnh didusayang dn bpak Kakwin cerai,,,"
7.433601812228703e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"sll beristighfar,tarik nafas oanjang dan dalam buang dgn perlahan dan juga lepas yg kuat",1.0,"Sll hilang, menarik napas dalam -dalam dan menyingkirkannya perlahan dan bahkan setelah kuat","Sll hilang, menarik napas dalam -dalam dan menyingkirKaknnya perlahan dan bahKakn setelah sayaat"
7.346206640758212e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"who hurt you, bro?",1.0,"Siapa yang menyakitimu, bro?","Siapa yang menyakitimu, bro?"
7.346191033390302e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,be forrealll,1.0,menjadi forrealll,Menjadi forrealll
7.346903151070873e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,completely agree,1.0,sepenuhnya setuju,Sepenuhnya setuju
7.350042083736339e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,speechless!,1.0,tak bisa bicara!,Tak bisa bicara!
7.347179737875498e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,bang double cleanings bang,1.0,Bang Double Cleanings Bang,Bang Double Cleanings Bang
7.346635283942622e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,battery health bwangg,1.0,BWANGG Kesehatan Baterai,BWANGG Kesehatan Baterai
7.352428526908458e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,well said buddy,1.0,Sobat yang diucapkan dengan baik,Sobat yang diucapKakn dengan baik
7.34757569689605e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,based,1.0,berdasarkan,BerdasarKakn
7.346705959340787e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,nice oneee,1.0,Oneee yang bagus,Oneee yang bagus
7.349944844993627e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,realy,1.0,benar -benar,Benar -benar
7.346590734903051e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,a good sailor isn't born in a calm ocean.,1.0,Seorang pelaut yang baik tidak dilahirkan di laut yang tenang.,Seorang pelaut yang baik tidak dilahirKakn di laut yang tenang.
7.346234604925879e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,hard to repost,1.0,Sulit untuk memposting ulang,Sulit untuk memposting ulang
7.34709844641294e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,louder bro,1.0,Louder Bro,Louder Bro
7.321054256936191e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"gue kuliah di psikologi, dan banyak org gagal paham soal ""peduli mental health""",1.0,"gue kuliah di psikologi, dan banyak org gagal paham soal ""peduli mental health""","Gue sayaliah di psikologi, dan banyak orang gagal paham soal ""peduli mental health"""
7.346140261342971e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"ni maksud abangnya itu jangan terlalu fokus sama mental health, kayak kalo lu cape ya mending istirahat, jadi jangan jdi org yg gampang tumbang.",1.0,"ni maksud abangnya itu jangan terlalu fokus sama mental health, kayak kalo lu cape ya mending istirahat, jadi jangan jdi org yg gampang tumbang.","Ni maksud abangnya itu jangan terlalu fosayas sama mental health, Kakyak Kaklo lu cape ya mending istirahat, jadi jangan jdi orang yang gampang tumbang."
7.345814824967964e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"yuk main ke rsj bang, ngobrol sama pasien sini",1.0,"Yuk bermain untuk RSJ Bang, Terbrol Pasien yang sama di sini","Yuk bermain untuk RSJ Bang, Terbrol Pasien yang sama di sini"
7.320973576289502e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"anak tahun 2000 sih, apa"" mental health, kita yang dari dlu mainnya metalslug biasa aja",1.0,"anak tahun 2000 sih, apa"" mental health, kita yang dari dlu mainnya metalslug biasa aja","Anak tahun 2000 sih, apa"" mental health, kita yang dari dlu mainnya metalslug biasa aja"
7.346249153746191e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,pernah kesepian dan sakit perut karena ga bisa beli makan bro?,1.0,pernah kesepian dan sakit perut karena ga bisa beli makan bro?,Pernah kesepian dan sakit perut Kakrena ga bisa beli maKakn bro?
7.320976714371827e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,elmer kah,1.0,elmer kah,Elmer Kakh
7.320977458646697e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,nah mulai,1.0,nah mulai,Nah mulai
7.346788855595714e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,abangnya yg ngomong gw yg malu,0.0,abangnya yg ngomong gw yg malu,Abangnya yang ngomong gw yang malu
7.3209525610535e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"waktu bokap gue meninggal, gue mikir kalo nyerah gabisa sekolahin adik gue dan biayain hidup nyokap juga. hidup terus berputar mending lawan bener",1.0,"Ketika saya meninggal, saya berpikir jika sekolah Gabisa juga sekolah saudara perempuan saya dan biayain. Hidup terus memutar lawan Bener","KetiKak saya meninggal, saya berpikir jiKak sekolah Gabisa juga sekolah saudara perempuan saya dan biayain. Hidup terus memutar lawan Bener"
7.321057335090497e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,gw harap lu sehat selalu dan berdamai ama diri lu bang,0.0,gw harap lu sehat selalu dan berdamai ama diri lu bang,Gw harap lu sehat selalu dan berdamai ama diri lu bang
7.320975966419027e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"mental health emang ada, tapi kami aja yang kuat",1.0,"mental health emang ada, tapi kami aja yang kuat","Mental health emang ada, tapi Kakmi aja yang sayaat"
7.321236609823196e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,anjirr faktaa buat anak gen z,1.0,anjirr faktaa buat anak gen z,Anjirr faktaa buat anak gen z
7.321036833982678e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"mental health itu sebenernya penting banget... cuma ya gitu, karena mungkin kebiasaan atau lingkungan, jadi mental health nya lemah...",0.0,"mental health itu sebenernya penting banget... cuma ya gitu, karena mungkin kebiasaan atau lingkungan, jadi mental health nya lemah...","Mental health itu sebenernya penting banget... cuma ya gitu, Kakrena mungkin kebiasaan atau lingsayangan, jadi mental health nya lemah..."
7.345853818511181e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,penting buat mikirin mental health. tapi penting juga buat mikirin solusi dari setiap masalah. karena mental health gak cukup dipikirin tapi dicari akarnya kenapa bisa kna mental. y kelarin masalahnya,1.0,penting buat mikirin mental health. tapi penting juga buat mikirin solusi dari setiap masalah. karena mental health gak cukup dipikirin tapi dicari akarnya kenapa bisa kna mental. y kelarin masalahnya,Penting buat mikirin mental health. tapi penting juga buat mikirin solusi dari setiap masalah. Kakrena mental health gak cusayap dipikirin tapi dicari aKakrnya kenapa bisa kna mental. y kelarin masalahnya
7.3468475462647e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,mental health gw tergantung dompet health,1.0,mental health gw tergantung dompet health,Mental health gw tergantung dompet health
7.346238003700041e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"bukan salah mental health nya, tapi cara pandang orang orang masih pada salah terhadap issue ini",1.0,"bukan salah mental health nya, tapi cara pandang orang orang masih pada salah terhadap issue ini","BuKakn salah mental health nya, tapi cara pandang orang orang masih pada salah terhadap issue ini"
7.346265317201937e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"tonton videonya ampe akhir, serep bener2 kata2 abangnye. bener kita harus kuat ngadepin dunia tpi bukan berati kita kudu tolak apa yg ati kita rasa bang, buat yg baca dan merasa",1.0,"Tonton video amp terakhir, kata -kata dadu Bener2. Bener kita harus kuat di dunia tetapi kita tidak ingin menolak apa yang kita rasakan, baca dan rasakan","Tonton video amp terakhir, Kakta -Kakta dadu Bener2. Bener kita harus sayaat di dunia tetapi kita tidak ingin menolak apa yang kita rasaKakn, baca dan rasaKakn"
7.320977866006939e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"perlu di garis bawah istirahat , sebenernya yg bilang mental health itu perlu istirahat dulu sebelum bangkit lg",1.0,"perlu di garis bawah istirahat , sebenernya yg bilang mental health itu perlu istirahat dulu sebelum bangkit lg","Perlu di garis bawah istirahat , sebenernya yang bilang mental health itu perlu istirahat dulu sebelum bangkit lg"
7.349902579277743e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"intinya :""laa yukallifullahu nafsan illa wus'ahaa"" (allah tidak membebani seseorang, kecuali menurut kesanggupannya).",1.0,"intinya :""laa yukallifullahu nafsan illa wus'ahaa"" (allah tidak membebani seseorang, kecuali menurut kesanggupannya).","Intinya :""laa yuKakllifullahu nafsan illa wus'ahaa"" (allah tidak membebani seseorang, kecuali menurut kesanggupannya)."
7.346571017827927e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,mental healt cuma berlaku di zaman gen z,0.0,Penyembuhan mental hanya terjadi di zaman Gen Z,Penyembuhan mental hanya terjadi di zaman Gen Z
7.346628814632912e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"ta— tapi... mental health yang baik itu berarti lo bisa bertahan dan menghadapi ujian hidup yang kuat... sama aja kayak orang yang bilang ""gak mau capek2, gak sehat"", jadinya gak olahraga dan jadinya-",1.0,"ta— tapi... mental health yang baik itu berarti lo bisa bertahan dan menghadapi ujian hidup yang kuat... sama aja kayak orang yang bilang ""gak mau capek2, gak sehat"", jadinya gak olahraga dan jadinya-","Ta— tapi... mental health yang baik itu berarti lo bisa bertahan dan menghadapi ujian hidup yang sayaat... sama aja Kakyak orang yang bilang ""gak mau capek2, gak sehat"", jadinya gak olahraga dan jadinya-"
7.349120147175884e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,tebak generasi,1.0,tebak generasi,Tebak generasi
7.346849483743184e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,gw mh metal health,0.0,Kesehatan logam GW MH,Kesehatan logam GW MH
7.349259341651133e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,betul!!!,1.0,Itu benar !!!,Itu benar !!!
